2024-12-12 03:19:03 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Thread-9, Pool Size: 19
2024-12-12 03:19:03 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Thread-10, Pool Size: 20
2024-12-12 03:19:07 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-4, Pool Size: 21
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-11, Pool Size: 22
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-12, Pool Size: 23
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-8, Pool Size: 24
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-13, Pool Size: 25
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-5, Pool Size: 26
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-7, Pool Size: 27
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-9, Pool Size: 28
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-10, Pool Size: 29
2024-12-12 03:19:08 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Thread-6, Pool Size: 30
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-3, Pool Size: 1
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-22, Pool Size: 0
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-12, Pool Size: 1
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-11, Pool Size: 2
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-10, Pool Size: 3
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-9, Pool Size: 4
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-8, Pool Size: 5
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-6, Pool Size: 6
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-7, Pool Size: 7
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-5, Pool Size: 8
2024-12-12 03:38:15 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Thread-4, Pool Size: 9
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-13, Pool Size: 8
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-14, Pool Size: 7
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-15, Pool Size: 6
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-16, Pool Size: 5
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-17, Pool Size: 4
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-18, Pool Size: 3
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-19, Pool Size: 2
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-20, Pool Size: 1
2024-12-12 03:38:15 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Thread-21, Pool Size: 0
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-3, Pool Size: 1
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-22, Pool Size: 0
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-12, Pool Size: 1
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-10, Pool Size: 2
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-11, Pool Size: 3
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-7, Pool Size: 4
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-9, Pool Size: 5
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-8, Pool Size: 6
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-6, Pool Size: 7
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-5, Pool Size: 8
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-15, Pool Size: 7
2024-12-12 03:38:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Thread-4, Pool Size: 8
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-13, Pool Size: 7
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-14, Pool Size: 6
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-17, Pool Size: 5
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-16, Pool Size: 4
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-18, Pool Size: 3
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-19, Pool Size: 2
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-20, Pool Size: 1
2024-12-12 03:38:20 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Thread-21, Pool Size: 0
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-3, Pool Size: 1
2024-12-12 03:38:25 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Thread-22, Pool Size: 0
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-12, Pool Size: 1
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-10, Pool Size: 2
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-11, Pool Size: 3
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-5, Pool Size: 4
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-8, Pool Size: 5
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-7, Pool Size: 6
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-9, Pool Size: 7
2024-12-12 03:38:25 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Thread-6, Pool Size: 8
